Codice Regione,Codice Città Metropolitana,Codice Provincia (1),Progressivo del Comune (2),Codice Comune formato alfanumerico,Denominazione in italiano,Denominazione altra lingua,Codice Ripartizione Geografica,Ripartizione geografica,Denominazione regione,Denominazione Città metropolitana,Denominazione provincia,Flag Comune capoluogo di provincia,Sigla automobilistica,Codice Comune formato numerico,Codice Comune numerico con 110 province (dal 2010 al 2016),Codice Comune numerico con 107 province (dal 2006 al 2009),Codice Comune numerico con 103 province (dal 1995 al 2005),Codice Catastale del comune,Popolazione legale 2011 (09/10/2011),Codice NUTS1 2010,Codice NUTS2 2010 (3),Codice NUTS3 2010,Codice NUTS1 2006,Codice NUTS2 2006 (3),Codice NUTS3 2006
19,282,082, 032 ,082032,Collesano,,5,Isole,Sicilia,Palermo,-,0,PA,82032,82032,82032,82032,C871,4.095,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 033 ,082033,Contessa Entellina,,5,Isole,Sicilia,Palermo,-,0,PA,82033,82033,82033,82033,C968,1.865,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 034 ,082034,Corleone,,5,Isole,Sicilia,Palermo,-,0,PA,82034,82034,82034,82034,D009,11.286,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 035 ,082035,Ficarazzi,,5,Isole,Sicilia,Palermo,-,0,PA,82035,82035,82035,82035,D567,11.484,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 036 ,082036,Gangi,,5,Isole,Sicilia,Palermo,-,0,PA,82036,82036,82036,82036,D907,7.063,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 037 ,082037,Geraci Siculo,,5,Isole,Sicilia,Palermo,-,0,PA,82037,82037,82037,82037,D977,1.925,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 038 ,082038,Giardinello,,5,Isole,Sicilia,Palermo,-,0,PA,82038,82038,82038,82038,E013,2.258,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 039 ,082039,Giuliana,,5,Isole,Sicilia,Palermo,-,0,PA,82039,82039,82039,82039,E055,2.032,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 040 ,082040,Godrano,,5,Isole,Sicilia,Palermo,-,0,PA,82040,82040,82040,82040,E074,1.153,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 041 ,082041,Gratteri,,5,Isole,Sicilia,Palermo,-,0,PA,82041,82041,82041,82041,E149,1.019,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 042 ,082042,Isnello,,5,Isole,Sicilia,Palermo,-,0,PA,82042,82042,82042,82042,E337,1.598,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 043 ,082043,Isola delle Femmine,,5,Isole,Sicilia,Palermo,-,0,PA,82043,82043,82043,82043,E350,7.100,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 044 ,082044,Lascari,,5,Isole,Sicilia,Palermo,-,0,PA,82044,82044,82044,82044,E459,3.500,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 045 ,082045,Lercara Friddi,,5,Isole,Sicilia,Palermo,-,0,PA,82045,82045,82045,82045,E541,6.935,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 046 ,082046,Marineo,,5,Isole,Sicilia,Palermo,-,0,PA,82046,82046,82046,82046,E957,6.779,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 047 ,082047,Mezzojuso,,5,Isole,Sicilia,Palermo,-,0,PA,82047,82047,82047,82047,F184,3.020,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 048 ,082048,Misilmeri,,5,Isole,Sicilia,Palermo,-,0,PA,82048,82048,82048,82048,F246,27.570,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 049 ,082049,Monreale,,5,Isole,Sicilia,Palermo,-,0,PA,82049,82049,82049,82049,F377,38.018,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 050 ,082050,Montelepre,,5,Isole,Sicilia,Palermo,-,0,PA,82050,82050,82050,82050,F544,6.421,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 051 ,082051,Montemaggiore Belsito,,5,Isole,Sicilia,Palermo,-,0,PA,82051,82051,82051,82051,F553,3.566,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 052 ,082052,Palazzo Adriano,,5,Isole,Sicilia,Palermo,-,0,PA,82052,82052,82052,82052,G263,2.227,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 053 ,082053,Palermo,,5,Isole,Sicilia,Palermo,-,1,PA,82053,82053,82053,82053,G273,657.561,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 054 ,082054,Partinico,,5,Isole,Sicilia,Palermo,-,0,PA,82054,82054,82054,82054,G348,31.401,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 055 ,082055,Petralia Soprana,,5,Isole,Sicilia,Palermo,-,0,PA,82055,82055,82055,82055,G510,3.443,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 056 ,082056,Petralia Sottana,,5,Isole,Sicilia,Palermo,-,0,PA,82056,82056,82056,82056,G511,2.975,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 057 ,082057,Piana degli Albanesi,,5,Isole,Sicilia,Palermo,-,0,PA,82057,82057,82057,82057,G543,6.010,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 058 ,082058,Polizzi Generosa,,5,Isole,Sicilia,Palermo,-,0,PA,82058,82058,82058,82058,G792,3.607,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 059 ,082059,Pollina,,5,Isole,Sicilia,Palermo,-,0,PA,82059,82059,82059,82059,G797,2.998,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 060 ,082060,Prizzi,,5,Isole,Sicilia,Palermo,-,0,PA,82060,82060,82060,82060,H070,5.055,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 061 ,082061,Roccamena,,5,Isole,Sicilia,Palermo,-,0,PA,82061,82061,82061,82061,H422,1.562,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 062 ,082062,Roccapalumba,,5,Isole,Sicilia,Palermo,-,0,PA,82062,82062,82062,82062,H428,2.634,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 063 ,082063,San Cipirello,,5,Isole,Sicilia,Palermo,-,0,PA,82063,82063,82063,82063,H797,5.478,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 064 ,082064,San Giuseppe Jato,,5,Isole,Sicilia,Palermo,-,0,PA,82064,82064,82064,82064,H933,8.511,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 065 ,082065,San Mauro Castelverde,,5,Isole,Sicilia,Palermo,-,0,PA,82065,82065,82065,82065,I028,1.847,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 066 ,082066,Santa Cristina Gela,,5,Isole,Sicilia,Palermo,-,0,PA,82066,82066,82066,82066,I174,925,ITG,ITG1,ITG12,ITG,ITG1,ITG12
